Type,Company Name,,,,,,,,,,,,,,,,
KPI,Total,Beertown Barrie,Beertown Burlington,Beertown Cambridge,Beertown Etobicoke,Beertown Guelph,Beertown London,Beertown Newmarket,Beertown Oakville,Beertown Toronto,Beertown Waterloo,Beertown Whitby,Beertown White Oaks Mall,Sociable Kitchen + Tavern,Sole,The Bauer Kitchen,Wildcraft Waterloo
1. Totals,,,,,,,,,,,,,,,,,
1. Total Daily Sales,248 878.25,12 640.37,19 391.41,11 968.12,15 347.76,14 524.92,14 150.61,15 252.92,19 577.16,14 650.67,17 780.6,19 481.43,13 201.09,10 393.05,10 145.95,22 695.28,17 676.91
PUSH TEST: 4. Daily Labour Projection % of Sales,0,,,,,,,,,,,,,,,,
PUSH TEST: 5. Full Week Labour Projection % of Sales,0,,,,,,,,,,,,,,,,
PUSH TEST: 6. Daily Labour $ +/- Labour Projections,0,,,,,,,,,,,,,,,0,
PUSH TEST: 7. WTD Labour $ +/- Labour Projections,0,,,,,,,,,,,,,,,0,
PUSH TEST: 8. WTD Labour % +/- Labour Budget %,0,,,,,,,,,,,,,,,0,
PUSH TEST: 9 WTD Labour $ +/- Relative to Sales,0,,,,,,,,,,,,,,,0,
TEST,,,,,,,,,,,,,,,,,
TEST: 1. Labour Budget %,0,,,,,,,,,,,,,,,,0
TEST: 2. Daily Labour Actual % of Sales,2.05,,,,,,,,,,,,,,,,32.79
TEST: 3. WTD Labour Actual % of Sales,2.19,,,,,,,,,,,,,,,,35.05
TEST: 4. Daily Labour Projection % of Sales,0,,,,,,,,,,,,,,,,
TEST: 5. Full Week Labour Projection % of Sales,0,,,,,,,,,,,,,,,,
TEST: 6. Daily Labour $ +/- Labour Projections,612.68,,,,,,,,,,,,,,,,612.68
TEST: 7. WTD Labour $ +/- Labour Projections,662.54,,,,,,,,,,,,,,,,662.54
TEST: 8. WTD Labour % +/- Labour Budget %,2.19,,,,,,,,,,,,,,,,35.05
TEST: 9 WTD Labour $ +/- Relative to Sales,662.54,,,,,,,,,,,,,,,,662.54
